MATLAB index,fpga,bank_index,in_bank_index,x,y
282,1,0,43,50.00000000000001,86.60254037844385
283,0,0,233,40.00000000000001,86.60254037844385
284,0,0,225,30.000000000000007,86.60254037844385
285,0,0,217,20.000000000000007,86.60254037844385
286,0,0,209,10.000000000000007,86.60254037844385
287,0,0,201,7.105427357601002e-15,86.60254037844385
288,0,0,193,-9.999999999999993,86.60254037844385
289,0,0,185,-19.999999999999993,86.60254037844385
290,0,0,177,-29.999999999999993,86.60254037844385
291,0,0,169,-39.99999999999999,86.60254037844385
292,0,0,161,-49.99999999999999,86.60254037844385
293,0,0,162,-54.99999999999999,77.94228634059947
294,0,0,163,-59.99999999999999,69.28203230275508
295,0,0,44,-65.0,60.6217782649107
296,0,0,45,-70.0,51.96152422706631
297,0,0,46,-75.0,43.301270189221924
298,0,0,47,-80.0,34.64101615137754
299,0,0,40,-85.0,25.980762113533157
300,0,0,41,-90.0,17.32050807568877
301,0,0,42,-95.0,8.660254037844386
302,0,0,43,-100.0,0.0
303,2,0,233,-95.0,-8.660254037844386
304,2,0,225,-90.0,-17.32050807568877
305,2,0,217,-85.0,-25.980762113533157
306,2,0,209,-80.0,-34.64101615137754
307,2,0,201,-75.0,-43.301270189221924
308,2,0,193,-70.0,-51.96152422706631
309,2,0,185,-65.0,-60.6217782649107
310,2,0,177,-60.00000000000001,-69.28203230275508
311,2,0,169,-55.00000000000001,-77.94228634059947
312,2,0,161,-50.00000000000001,-86.60254037844385
313,2,0,162,-40.00000000000001,-86.60254037844385
314,2,0,163,-30.000000000000007,-86.60254037844385
315,2,0,44,-20.000000000000007,-86.60254037844385
316,2,0,45,-10.000000000000007,-86.60254037844385
317,2,0,46,-7.105427357601002e-15,-86.60254037844385
318,2,0,47,9.999999999999993,-86.60254037844385
319,2,0,40,19.999999999999993,-86.60254037844385
320,2,0,41,29.999999999999993,-86.60254037844385
321,2,0,42,39.99999999999999,-86.60254037844385
322,2,0,43,49.99999999999999,-86.60254037844385
323,1,0,233,54.99999999999999,-77.94228634059947
324,1,0,225,59.99999999999999,-69.28203230275508
325,1,0,217,65.0,-60.6217782649107
326,1,0,209,70.0,-51.96152422706631
327,1,0,201,75.0,-43.301270189221924
328,1,0,193,80.0,-34.64101615137754
329,1,0,185,85.0,-25.980762113533157
330,1,0,177,90.0,-17.32050807568877
331,1,0,169,95.0,-8.660254037844386
332,1,0,152,110.0,0.0
333,1,0,153,105.0,8.660254037844386
334,1,0,154,100.0,17.32050807568877
335,1,0,155,95.0,25.980762113533157
336,1,0,36,90.0,34.64101615137754
337,1,0,37,85.0,43.301270189221924
338,1,0,38,80.0,51.96152422706631
339,1,0,39,75.0,60.6217782649107
340,1,0,32,70.0,69.28203230275508
341,1,0,33,65.0,77.94228634059947
342,1,0,34,60.00000000000001,86.60254037844385
343,1,0,35,55.00000000000001,95.26279441628824
344,0,0,232,45.00000000000001,95.26279441628824
345,0,0,224,35.00000000000001,95.26279441628824
346,0,0,216,25.000000000000007,95.26279441628824
347,0,0,208,15.000000000000007,95.26279441628824
348,0,0,200,5.000000000000007,95.26279441628824
349,0,0,192,-4.999999999999993,95.26279441628824
350,0,0,184,-14.999999999999993,95.26279441628824
351,0,0,176,-24.999999999999993,95.26279441628824
352,0,0,168,-34.99999999999999,95.26279441628824
353,0,0,160,-44.99999999999999,95.26279441628824
354,0,0,152,-54.99999999999999,95.26279441628824
355,0,0,153,-59.99999999999999,86.60254037844385
356,0,0,154,-65.0,77.94228634059947
357,0,0,155,-70.0,69.28203230275508
358,0,0,36,-75.0,60.6217782649107
359,0,0,37,-80.0,51.96152422706631
360,0,0,38,-85.0,43.301270189221924
361,0,0,39,-90.0,34.64101615137754
362,0,0,32,-95.0,25.980762113533157
363,0,0,33,-100.0,17.32050807568877
364,0,0,34,-105.0,8.660254037844386
365,0,0,35,-110.0,0.0
366,2,0,232,-105.0,-8.660254037844386
367,2,0,224,-100.0,-17.32050807568877
368,2,0,216,-95.0,-25.980762113533157
369,2,0,208,-90.0,-34.64101615137754
370,2,0,200,-85.0,-43.301270189221924
371,2,0,192,-80.0,-51.96152422706631
372,2,0,184,-75.0,-60.6217782649107
373,2,0,176,-70.0,-69.28203230275508
374,2,0,168,-65.0,-77.94228634059947
375,2,0,160,-60.00000000000001,-86.60254037844385
376,2,0,152,-55.00000000000001,-95.26279441628824
377,2,0,153,-45.00000000000001,-95.26279441628824
378,2,0,154,-35.00000000000001,-95.26279441628824
379,2,0,155,-25.000000000000007,-95.26279441628824
380,2,0,36,-15.000000000000007,-95.26279441628824
381,2,0,37,-5.000000000000007,-95.26279441628824
382,2,0,38,4.999999999999993,-95.26279441628824
383,2,0,39,14.999999999999993,-95.26279441628824
